,B cells,CD4 T cells,CD8 T cells,DC1,DC2,Epithelial cells,Mast cells,Migratory DC,MoAM,Monocytes,Perivascular macrophages,Plasma cells,Proliferating T cells,Proliferating macrophages,SARS-CoV-2,TRAM,Tregs,gdT cells and NK cells,pDC
SERPING1,-0.4743251734905229,-0.6065582177933989,-0.6456439465120182,-0.6134940084275708,-0.4690430767700455,-0.4275772563862546,-0.6523553213729444,-0.3901154011227528,0.5610134487576582,0.8263458553299824,1.1871424337662806,-0.5706925279153912,-0.7071406740215643,2.0244211849662226,-0.5036043664691013,2.874486294644905,-0.6515359103659222,-0.5701165782529882,-0.1912067585645738
CTSL,-0.6762767529416732,-0.4902561403033563,-0.7662207584689938,-0.0584193646177709,-0.1432550015659893,-0.5684074903301728,-0.6643679011616094,-0.598771152867582,1.2040539050441097,1.4364571099446692,2.371275178765136,-0.7145263919708223,-0.6047153160634796,1.4339556740211383,-0.6976279419657764,1.6060405292649935,-0.7383839701637587,-0.7056725903277301,-0.6248816242913311
CFD,-0.5966277509420276,-0.6658021684477997,-0.6543883294399432,-0.5975897439034122,-0.215850901149463,-0.30765389797905,-0.6837837584537794,-0.4503441583048338,1.4125979584096136,0.9717940457733,2.0031265072537097,-0.6151709263039379,-0.6811520375569359,1.6986788202766443,-0.7405679448946237,2.036740245704438,-0.6823378575688649,-0.6526253975227363,-0.5790427049502984
FABP5,-0.5556391462920515,-0.5701120816954748,-0.46207029155206,-0.1168874318191685,0.581362974944183,-0.6996955579629739,-0.9345402092511664,-0.1361139018136115,1.386336169581812,-0.3785028476752934,1.0870097240962169,-0.7066567220197484,0.3089533146478567,2.0343779888488265,-1.0904775162428204,2.376877092715166,-0.8636708618273857,-0.8037934131070557,-0.4567572835752514
FBP1,-0.4649928368933655,-0.6044332342511959,-0.6290706514828701,-0.5545832371792887,0.4037923130691874,-0.5483141570366161,-0.477433804953364,-0.4404893073469267,1.8315646060436543,-0.0819408424523252,0.5792115245423093,-0.5258644835970926,-0.6880721864494295,1.8287853656230997,-0.6888704115180184,2.7552096074161576,-0.6625972367416963,-0.538862004806807,-0.4930390219854121
RETN,-0.4181725980444907,-0.554462565728273,-0.594905601193079,-0.5974304050466059,-0.1456645160679573,-0.5952257807981498,-0.5971038040744303,-0.4244262679984342,2.462310014266376,0.457071815920376,0.0364081157446851,-0.4746968261853926,-0.6402562238538898,1.9109818642225425,-0.5239294065773061,2.2840742405281538,-0.5771019224057901,-0.4697110436890483,-0.5377590890192845
MCEMP1,-0.3915390633172399,-0.5325346651348828,-0.5453669685777832,-0.5485326958030385,-0.3017185871325535,-0.5245197025645831,-0.5200146957182278,-0.3720654918029236,1.904572523439182,0.212547077076325,-0.0529002472296464,-0.4260828558482385,-0.5700289968532045,2.0148090432937176,-0.6175791203768523,2.7916447223545044,-0.5511711431928534,-0.4882124541658146,-0.4813066784458861
SCD,-0.4856617611813527,-0.5147489149890438,-0.5670275885607694,-0.5048949453656806,-0.2856121047161333,-0.0761720860704411,-0.4378449678389562,-0.3380233965199403,0.9726135587748356,-0.538736710630769,0.8574760889056766,-0.5604881036219543,-0.4687379753121489,2.011733711716058,-0.7382619029571251,3.115225196675331,-0.6032046991863891,-0.4983111734230476,-0.3393222256981504
CXCL3,-0.5514172156064271,-0.6414633061538525,-0.6399425311217517,-0.6165515530315582,-0.2655653225069715,0.2361514005049665,-0.645045938410067,-0.1991437980722377,1.3619580979376718,-0.256110971503003,1.015696401127168,-0.6182890200061164,-0.6331829685339155,2.6376330026054347,-0.6666659456897845,2.1906542158115347,-0.605227617251638,-0.5812682315084445,-0.5222186985910078
MARCO,-0.4083025415752809,-0.5415271887552754,-0.5634010500679244,-0.545334908173934,-0.3776916928994251,-0.5093633764758208,-0.5632844420169613,-0.4151413761019027,1.7070939320765706,-0.1620518606278584,0.7695972179912505,-0.5009818384656507,-0.5986750620523291,2.4395610643660524,-0.5243723088669731,2.4074908488832385,-0.5619501057475749,-0.5348619901707635,-0.516803321319437
FN1,-0.4250117493106763,-0.6066542833481585,-0.604953016386613,-0.618077400518122,0.0654404574099828,-0.4160107686055823,-0.5684431705286255,-0.3985316184917165,1.6310437073108406,-0.0847023995461975,1.010003095011408,-0.5067054615292904,-0.6596195027551341,2.394142641941992,-0.7220741117483497,2.309003681023703,-0.6190324655882771,-0.6074957315048665,-0.5723219028363171
FABP3,-0.4300296820860725,-0.4724724554845915,-0.4715302955979327,-0.475917992922585,-0.1086362798348947,-0.5182944230894497,-0.4526475105018989,-0.4151085571795447,0.578171872825667,-0.401063915406071,1.7313364453847266,-0.4470328700865809,-0.4889234341720971,0.9332881184160012,-0.5182944230894497,3.420565738668134,-0.4853501264422144,-0.4849767303233378,-0.4930834790778084
