,factor,feature_name,weight,view
396,1,delta energy_entropy_std_pyAA,-0.005235019640689845,0
397,1,delta spectral_centroid_std_pyAA,-0.0732257597828633,0
398,1,delta spectral_spread_std_pyAA,-0.42273690359372956,0
399,1,delta spectral_entropy_std_pyAA,0.27664139033959045,0
400,1,delta spectral_flux_std_pyAA,-0.088150940772623,0
401,1,delta spectral_rolloff_std_pyAA,0.24668564660002007,0
402,1,delta mfcc_1_std_pyAA,0.01743137658300422,0
403,1,delta mfcc_2_std_pyAA,0.10403896408366049,0
404,1,delta mfcc_3_std_pyAA,0.272168867773496,0
405,1,delta mfcc_4_std_pyAA,0.31740031345998,0
406,1,delta mfcc_5_std_pyAA,0.32820590837913277,0
407,1,delta mfcc_6_std_pyAA,0.3620904631129737,0
408,1,delta mfcc_7_std_pyAA,0.4029500492686062,0
409,1,delta mfcc_8_std_pyAA,0.3975164176309278,0
410,1,delta mfcc_9_std_pyAA,0.4259577608644947,0
411,1,delta mfcc_10_std_pyAA,0.4356234543462102,0
412,1,delta mfcc_11_std_pyAA,0.48080140616704525,0
413,1,delta mfcc_12_std_pyAA,0.46327823803053614,0
414,1,delta mfcc_13_std_pyAA,0.4122995659885385,0
415,1,delta chroma_1_std_pyAA,-0.030621898419479734,0
416,1,delta chroma_2_std_pyAA,0.14688725998838364,0
417,1,delta chroma_3_std_pyAA,-0.10717303567237975,0
418,1,delta chroma_4_std_pyAA,0.13586726406085295,0
419,1,delta chroma_5_std_pyAA,-0.0036860439812503834,0
420,1,delta chroma_6_std_pyAA,0.20798461666161858,0
421,1,delta chroma_7_std_pyAA,-0.0008814946767574064,0
422,1,delta chroma_8_std_pyAA,0.30495374664318914,0
423,1,delta chroma_9_std_pyAA,0.27632293798109464,0
424,1,delta chroma_10_std_pyAA,-0.008023934496138752,0
425,1,delta chroma_11_std_pyAA,-0.06678387652698962,0
426,1,delta chroma_12_std_pyAA,0.14092932358171312,0
427,1,delta chroma_std_std_pyAA,0.08505728718342177,0
428,1,tempo_pyAA,-0.033510734308811664,0
429,1,global_highest_pitch_cents_all,0.048929033275608276,1
430,1,global_lowest_pitch_cents_all,0.4816924569340325,1
431,1,global_pitch_range_cents_all,-0.42210262808099824,1
432,1,duration_mean_all,-0.030679271469947703,1
433,1,interval_duration_mean_all,-0.37538100370607236,1
434,1,interval_duration_std_all,-0.41257774448264134,1
435,1,global_highest_pitch_cents_onethird,0.03461913658691224,1
436,1,global_lowest_pitch_cents_onethird,0.47014939628358,1
437,1,global_pitch_range_cents_onethird,-0.4138538228766053,1
438,1,global_vibrato_coverage_onethird,0.1064515105288493,1
439,1,duration_mean_onethird,-0.03070144150094568,1
